date,open,high,low,close,volume,sma_5,sma_10,ema_20,mtm6_mtm12,fastk,fastd,roc_10,bband_upper,bband_middle,bband_lower,macd,macdsignal,macdhist,adosc,cci_14,atr_14
2008-10-28,449.0,459.0,413.05,421.4,26950.0,447.5000000000012,457.4749999999998,471.13719708054,0.9091544374563243,0.0,-1.1842378929335004e-14,-7.506584723441623,492.770387672248,447.5000000000012,402.2296123277544,-24.48972354109901,-23.933145119646106,-0.5565784214529046,186580.86142186297,-84.88768837077053,42.672054208924465
2008-10-29,430.0,438.5,404.0,416.2,1254388.0,434.7000000000012,454.80499999999984,465.9050830728695,0.9773205517886373,0.0,-1.1842378929335004e-14,-6.02844885978776,471.06437817419396,434.7000000000012,398.3356218258084,-25.928546248992973,-24.33222534551548,-1.5963209034774941,25451.757073121145,-109.70628139782177,42.08833605114415
2008-10-31,425.0,464.9,419.0,429.9,562630.0,427.5600000000012,452.65499999999986,462.47602754212005,1.0779114270092947,89.36266945574462,29.7875564852482,-4.7629596809924735,446.87407776715486,427.5600000000012,408.24592223284753,-25.667469495929936,-24.59927417559837,-1.068195320331565,-136773.02536476532,-45.95728522785977,42.56059776177671
2008-11-03,436.0,436.0,398.15,403.0,853239.0,419.24000000000126,448.10999999999984,456.81164396668004,1.0254020041948266,0.0,29.7875564852482,-10.134909131452785,437.8520820972732,419.24000000000126,400.62791790272934,-27.316284353263143,-25.142676211131324,-2.173608142131819,-392614.1434953683,-129.30105612910847,42.22412649307837
2008-11-04,407.0,419.0,395.0,401.25,899546.0,414.3500000000013,439.7649999999999,451.5200588269962,1.0869967607589077,0.0,29.7875564852482,-17.216835155766454,436.17402346029655,414.3500000000013,392.525976539706,-28.436395317233405,-25.80142003235174,-2.6349752848816657,-598730.9155189148,-129.9219427580225,40.9224031721442
2008-11-05,407.5,414.0,404.05,406.85,439812.0,411.44000000000125,429.4699999999999,447.2657675101394,1.1081403676295063,37.01396525308687,12.337988417695614,-20.19419380149078,432.597825975173,411.44000000000125,390.2821740248295,-28.543190000489517,-26.349774025979293,-2.1934159745102235,-689801.2084192443,-103.77697527956603,38.91008865984819
2008-11-06,404.0,427.65,400.1,412.4,578061.0,410.6800000000012,422.6899999999999,443.9452182234595,1.1254780114722753,74.372538001531,37.12883441820595,-14.119117034568928,431.3670587565219,410.6800000000012,389.9929412434805,-27.858847487365495,-26.651588718256534,-1.207258769108961,-684042.7398344176,-76.32335368019864,38.09865375557332
2008-11-07,402.0,418.0,402.0,408.15,200672.0,406.3300000000012,416.9449999999999,440.53614982122525,1.1536786060019362,76.0985546498278,62.49501930148188,-12.338917525773208,414.19501112497437,406.3300000000012,398.464988875028,-27.34423329631545,-26.790117633868316,-0.5541156624471348,-634266.6536102232,-76.73246600889689,36.520178487318084
2008-11-10,418.0,424.0,408.05,415.45,264613.0,408.8200000000012,414.0299999999999,438.14699269539426,1.2391742195367574,100.0,83.49036421711959,-6.556455240665771,418.55274884068604,408.8200000000012,399.08725115931634,-26.047094163198608,-26.641512939734376,0.5944187765357682,-562313.5935428275,-53.42753992336474,35.05088002393822
2008-11-11,415.05,433.4,413.0,422.3,544498.0,413.0300000000012,413.68999999999994,436.6377552958329,1.1444751381215474,100.0,92.0328515499426,-0.7986845196147452,424.1365025996391,413.0300000000012,401.9234974003634,-24.18754533624724,-26.15071941903695,1.9631740827897097,-497045.5417493307,-21.78640726126765,34.00438859365692
2008-11-12,420.5,421.0,408.95,414.85,144592.0,414.6300000000012,413.03499999999997,434.56273098194407,1.092625220236597,62.664389780541484,87.55479659351381,-1.5543426672994687,423.8609479467611,414.6300000000012,405.3990520532413,-23.049294314148597,-25.530434398059278,2.481140083910681,-426113.5094099734,-44.48668183643408,32.52907512268143
2008-11-14,415.0,421.0,402.2,405.65,418781.0,413.2800000000012,411.9799999999999,431.80913755509226,1.1025705645161292,17.78701367168274,60.150467817408064,-2.534839019702073,425.04666477791255,413.2800000000012,401.5133352220899,-22.628735316046857,-24.950094581656792,2.321359265609935,-442701.7334775892,-68.1698096018955,31.54842689963275
2008-11-17,406.0,408.9,396.5,398.55,289611.0,411.3600000000012,408.8449999999999,428.6416006450835,1.3372064875332847,0.0,26.817134484074728,-7.29239357990229,427.9802767725416,411.3600000000012,394.73972322746084,-22.60774196635407,-24.481624058596246,1.8738820922421766,-470922.56161432574,-119.29880016331504,30.180682121087553
2008-11-18,395.0,408.9,387.0,402.1,151658.0,408.69000000000125,408.75499999999994,426.11382915507556,1.236532810969638,25.840398154348097,14.54247060867693,-0.22332506203472935,426.09498779074096,408.69000000000125,391.28501220926154,-22.050465216978182,-23.995392290272633,1.9449270732944512,-421367.9481378691,-124.99151535720385,29.589204826724153
2008-11-19,405.05,421.75,405.05,418.05,577016.0,407.8400000000012,410.43499999999995,425.34584542602073,1.2510056315366047,100.0,41.946799384782686,4.186915887850473,422.737838769296,407.8400000000012,392.94216123070646,-20.090200353883404,-23.214353902994787,3.1241535491113837,-260547.34532535868,17.277826985532414,28.879261624815282
2008-11-20,411.0,423.0,400.0,416.15,235473.0,408.1000000000013,411.36499999999995,424.4700506235426,1.1934189406099525,92.79009658503705,72.87683157979502,2.2858547376182647,423.5145385917237,408.1000000000013,392.68546140827885,-18.47699910383608,-22.266882943163047,3.7898838393269685,-140775.93234678917,3.273696231442931,28.459314365899903
2008-11-21,413.8,419.0,400.0,415.4,240424.0,410.05000000000126,411.66499999999996,423.6062362784433,1.2816046450250727,89.78016476065501,94.19008711523067,0.7274490785645016,426.1815839270622,410.05000000000126,393.9184160729403,-17.062359958028765,-21.22597834613619,4.163618388107427,-31471.10113024991,8.935728068873964,27.78364905404991
2008-11-24,420.15,434.85,405.15,430.6,249198.0,416.4600000000013,413.90999999999997,424.27230901382967,1.5199878861296179,100.0,94.19008711523067,5.500428763934839,434.56849524382596,416.4600000000013,398.3515047561766,-14.547045983871783,-19.89019187368331,5.343145889811527,72703.29126540013,149.72628421447268,27.92053126447492
