Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,505.549988,506.475006,499.674988,500.549988,435.542542,2335222
2017-01-03,502.049988,502.450012,491.000000,496.924988,432.388367,6778482
2017-01-04,497.524994,502.100006,496.125000,498.875000,434.085114,7073586
2017-01-05,500.799988,504.750000,494.375000,498.075012,433.389038,8207074
2017-01-06,497.450012,499.424988,484.024994,486.125000,422.990997,14393448
2017-01-09,486.125000,488.475006,482.500000,485.174988,422.164368,10545692
2017-01-10,488.500000,490.500000,483.975006,485.274994,422.251404,11939854
2017-01-11,487.100006,489.225006,481.975006,484.549988,421.620483,12241574
2017-01-12,488.774994,502.200012,488.774994,500.024994,435.085754,11855740
2017-01-13,515.000000,520.000000,481.350006,487.899994,424.535522,31276246
2017-01-16,482.500000,482.725006,476.225006,477.825012,415.768951,12351372
2017-01-17,478.125000,482.000000,476.200012,477.700012,415.660156,5560094
2017-01-18,479.049988,480.500000,474.899994,475.399994,413.658813,5952962
2017-01-19,475.500000,479.799988,474.049988,479.049988,416.834808,8876480
2017-01-20,475.000000,476.575012,473.000000,474.350006,412.745209,9124742
2017-01-23,472.500000,479.000000,470.000000,476.350006,414.485504,7948580
2017-01-24,475.000000,475.000000,470.049988,472.774994,411.374756,6826010
2017-01-25,473.049988,473.399994,467.399994,468.299988,407.480927,9978090
2017-01-27,466.924988,473.774994,450.575012,471.075012,409.895599,10635138
2017-01-30,468.750000,475.750000,464.424988,474.674988,413.028015,11369208
2017-01-31,470.750000,470.750000,452.174988,464.299988,404.000458,24068534
2017-02-01,460.549988,461.600006,452.575012,458.375000,398.844940,11531782
2017-02-02,458.500000,472.500000,455.049988,467.950012,407.176422,11828268
2017-02-03,466.899994,470.450012,460.524994,468.049988,407.263428,8423958
2017-02-06,468.625000,471.875000,465.274994,467.625000,406.893616,6727934
2017-02-07,466.500000,474.899994,464.274994,471.125000,409.939056,9268002
2017-02-08,468.000000,472.049988,466.225006,468.250000,407.437439,6319962
2017-02-09,468.500000,475.000000,468.274994,473.000000,411.570557,11907266
2017-02-10,473.125000,486.000000,471.649994,484.149994,421.272461,12252452
2017-02-13,486.424988,493.049988,481.424988,492.174988,428.255249,13724268
2017-02-14,490.000000,494.500000,486.174988,493.850006,429.712708,9338818
2017-02-15,494.600006,499.399994,484.399994,490.899994,427.145874,7259486
2017-02-16,495.500000,506.950012,495.024994,506.049988,440.328247,12815858
2017-02-17,506.875000,506.875000,496.350006,500.049988,435.107513,4851208
2017-02-20,498.250000,515.500000,496.750000,505.125000,439.523407,4650662
2017-02-21,511.049988,512.250000,500.024994,506.799988,440.980865,7613996
2017-02-22,507.500000,507.500000,493.200012,495.075012,430.778625,6607838
2017-02-23,499.450012,510.000000,496.674988,504.424988,438.914307,9542656
2017-02-27,503.649994,511.500000,503.475006,506.200012,440.458832,5328696
2017-02-28,505.924988,511.350006,504.625000,506.200012,440.458832,5940132
2017-03-01,506.000000,513.500000,505.049988,512.575012,446.005859,4282448
2017-03-02,512.200012,514.000000,508.250000,511.649994,445.200928,2948498
2017-03-03,505.125000,517.150024,500.200012,515.599976,448.638000,5401612
2017-03-06,510.024994,517.974976,509.850006,516.950012,449.812714,5286386
2017-03-07,511.000000,512.900024,507.350006,509.899994,443.678284,4644496
2017-03-08,508.450012,508.450012,502.225006,503.899994,438.457520,6179176
2017-03-09,503.899994,506.500000,499.500000,505.774994,440.088989,3480630
2017-03-10,507.500000,513.825012,506.700012,510.924988,444.570160,4550324
2017-03-14,511.399994,520.950012,511.399994,517.400024,450.204224,7878396
2017-03-15,517.450012,517.450012,503.750000,505.975006,440.263031,6373978
2017-03-16,506.649994,515.849976,506.649994,514.424988,447.615570,6702956
2017-03-17,517.700012,521.450012,509.625000,520.150024,452.597107,9507846
2017-03-20,513.275024,513.275024,507.549988,510.750000,444.417908,4427388
2017-03-21,510.450012,517.474976,509.399994,516.424988,449.355835,4869584
2017-03-22,511.225006,519.974976,510.200012,513.849976,447.115265,3990852
2017-03-23,514.125000,521.500000,513.299988,520.224976,452.662292,4501662
2017-03-24,519.000000,522.000000,513.849976,515.700012,448.724976,4883896
2017-03-27,513.599976,520.924988,512.250000,514.424988,447.615570,7684824
2017-03-28,515.750000,519.500000,515.025024,517.575012,450.356567,4796796
2017-03-29,517.150024,520.750000,512.924988,515.924988,448.920807,6981186
2017-03-30,517.000000,517.950012,510.125000,512.750000,446.158173,12157180
2017-03-31,511.625000,514.650024,504.000000,511.125000,444.744171,14153854
2017-04-03,516.075012,516.224976,503.049988,504.399994,438.892548,4315600
2017-04-05,502.500000,502.700012,495.500000,497.975006,433.301971,7398338
2017-04-06,499.075012,502.899994,496.000000,499.799988,434.889984,5379008
2017-04-07,500.450012,500.450012,489.500000,490.774994,427.037079,6404508
2017-04-10,492.450012,494.750000,475.049988,476.700012,414.790009,9528472
2017-04-11,478.024994,485.850006,478.024994,483.575012,420.772186,8655466
2017-04-12,485.000000,488.450012,480.174988,484.424988,421.511719,6696752
2017-04-13,485.000000,495.000000,463.325012,465.700012,405.218658,30973188
2017-04-17,465.000000,466.049988,461.750000,462.450012,402.390717,7213434
2017-04-18,462.375000,467.000000,459.549988,461.325012,401.411835,4647518
2017-04-19,461.500000,465.000000,456.325012,459.600006,399.910828,10071702
2017-04-20,460.750000,464.850006,459.274994,463.649994,403.434875,4549000
2017-04-21,467.399994,467.399994,460.549988,461.850006,401.868622,3577466
2017-04-24,458.750000,464.250000,456.500000,463.274994,403.108582,5556666
2017-04-25,462.950012,466.500000,460.274994,464.674988,404.326721,4737060
2017-04-26,464.975006,467.774994,455.100006,457.125000,397.757263,9084496
2017-04-27,458.000000,464.500000,458.000000,462.625000,402.542999,7797208
2017-04-28,463.424988,463.700012,457.799988,459.475006,399.802094,5029702
2017-05-02,462.000000,463.200012,457.549988,461.299988,401.390045,3231126
2017-05-03,463.250000,469.549988,458.825012,467.149994,406.480316,4659448
2017-05-04,468.500000,469.825012,464.450012,468.825012,407.937805,5279806
2017-05-05,468.000000,468.674988,460.000000,465.750000,405.262146,4432788
2017-05-08,469.000000,474.274994,466.000000,472.750000,411.353027,4707098
2017-05-09,475.299988,475.975006,471.049988,473.325012,411.853363,5649372
2017-05-10,473.575012,475.000000,468.575012,471.825012,410.548157,3364302
2017-05-11,473.424988,474.924988,468.774994,472.049988,410.743958,3229482
2017-05-12,476.500000,483.000000,475.725006,482.125000,419.510468,10979996
2017-05-15,481.750000,481.750000,474.549988,475.774994,413.985168,7297164
2017-05-16,476.549988,480.075012,473.475006,477.500000,415.486084,6130168
2017-05-17,475.799988,479.225006,471.924988,476.399994,414.528992,2915508
2017-05-18,471.500000,486.950012,471.424988,480.875000,418.422821,8057848
2017-05-19,480.750000,481.350006,473.924988,478.975006,416.769592,4257396
2017-05-22,479.200012,483.450012,478.274994,480.725006,418.292297,5503052
2017-05-23,482.325012,483.500000,477.049988,478.649994,416.486786,4039982
2017-05-24,480.000000,482.750000,474.799988,477.399994,415.399109,5636286
2017-05-25,480.500000,493.299988,480.500000,491.649994,427.798462,10438514
2017-05-26,493.500000,500.000000,490.299988,497.850006,433.193268,4988004
2017-05-29,495.450012,498.350006,487.850006,492.575012,428.603333,6308434
2017-05-30,491.000000,500.000000,489.325012,498.100006,433.410767,3716910
2017-05-31,496.774994,496.774994,487.424988,488.524994,425.079285,7763900
